image_id,target
cat.0,0
cat.1,0
cat.10,0
cat.100,0
cat.1000,0
cat.10000,0
cat.10001,0
cat.10002,0
cat.10003,0
cat.10004,0
cat.10005,0
cat.10006,0
cat.10007,0
cat.10008,0
cat.10009,0
cat.1001,0
cat.10010,0
cat.10011,0
cat.10012,0
cat.10013,0
cat.10014,0
cat.10015,0
cat.10016,0
cat.10017,0
cat.10018,0
cat.10019,0
cat.1002,0
cat.10020,0
cat.10021,0
cat.10022,0
cat.10023,0
cat.10024,0
cat.10025,0
cat.10026,0
cat.10027,0
cat.10028,0
cat.10029,0
cat.1003,0
cat.10030,0
cat.10031,0
cat.10032,0
cat.10033,0
cat.10034,0
cat.10035,0
cat.10036,0
cat.10037,0
cat.10038,0
cat.10039,0
cat.1004,0
cat.10040,0
cat.10041,0
cat.10042,0
cat.10043,0
cat.10044,0
cat.10045,0
cat.10046,0
cat.10047,0
cat.10048,0
cat.10049,0
cat.1005,0
cat.10050,0
cat.10051,0
cat.10052,0
cat.10053,0
cat.10054,0
cat.10055,0
cat.10056,0
cat.10057,0
cat.10058,0
cat.10059,0
cat.1006,0
cat.10060,0
cat.10061,0
cat.10062,0
cat.10063,0
cat.10064,0
cat.10065,0
cat.10066,0
cat.10067,0
cat.10068,0
cat.10069,0
cat.1007,0
cat.10070,0
cat.10071,0
cat.10072,0
cat.10073,0
cat.10074,0
cat.10075,0
cat.10076,0
cat.10077,0
cat.10078,0
cat.10079,0
cat.1008,0
cat.10080,0
cat.10081,0
cat.10082,0
cat.10083,0
cat.10084,0
cat.10085,0
cat.10086,0
cat.10087,0
cat.10088,0
cat.10089,0
cat.1009,0
cat.10090,0
cat.10091,0
cat.10092,0
cat.10093,0
cat.10094,0
cat.10095,0
cat.10096,0
cat.10097,0
cat.10098,0
cat.10099,0
cat.101,0
cat.1010,0
cat.10100,0
cat.10101,0
cat.10102,0
cat.10103,0
cat.10104,0
cat.10105,0
cat.10106,0
cat.10107,0
cat.10108,0
cat.10109,0
cat.1011,0
cat.10110,0
cat.10111,0
cat.10112,0
cat.10113,0
cat.10114,0
cat.10115,0
cat.10116,0
cat.10117,0
cat.10118,0
cat.10119,0
cat.1012,0
cat.10120,0
cat.10121,0
cat.10122,0
cat.10123,0
cat.10124,0
cat.10125,0
cat.10126,0
cat.10127,0
cat.10128,0
cat.10129,0
cat.1013,0
cat.10130,0
cat.10131,0
cat.10132,0
cat.10133,0
cat.10134,0
cat.10135,0
cat.10136,0
cat.10137,0
cat.10138,0
cat.10139,0
cat.1014,0
cat.10140,0
cat.10141,0
cat.10142,0
cat.10143,0
cat.10144,0
cat.10145,0
cat.10146,0
cat.10147,0
cat.10148,0
cat.10149,0
cat.1015,0
cat.10150,0
cat.10151,0
cat.10152,0
cat.10153,0
cat.10154,0
cat.10155,0
cat.10156,0
cat.10157,0
cat.10158,0
cat.10159,0
cat.1016,0
cat.10160,0
cat.10161,0
cat.10162,0
cat.10163,0
cat.10164,0
cat.10165,0
cat.10166,0
cat.10167,0
cat.10168,0
cat.10169,0
cat.1017,0
cat.10170,0
cat.10171,0
cat.10172,0
cat.10173,0
cat.10174,0
cat.10175,0
cat.10176,0
cat.10177,0
cat.10178,0
cat.10179,0
cat.1018,0
cat.10180,0
cat.10181,0
cat.10182,0
cat.10183,0
cat.10184,0
cat.10185,0
cat.10186,0
cat.10187,0
cat.10188,0
cat.10189,0
cat.1019,0
cat.10190,0
cat.10191,0
cat.10192,0
cat.10193,0
cat.10194,0
cat.10195,0
cat.10196,0
cat.10197,0
cat.10198,0
cat.10199,0
cat.102,0
cat.1020,0
cat.10200,0
cat.10201,0
cat.10202,0
cat.10203,0
cat.10204,0
cat.10205,0
cat.10206,0
cat.10207,0
cat.10208,0
cat.10209,0
cat.1021,0
cat.10210,0
cat.10211,0
cat.10212,0
cat.10213,0
cat.10214,0
cat.10215,0
cat.10216,0
cat.10217,0
cat.10218,0
cat.10219,0
cat.1022,0
cat.10220,0
cat.10221,0
cat.10222,0
cat.10223,0
cat.10224,0
cat.10225,0
cat.10226,0
cat.10227,0
cat.10228,0
cat.10229,0
cat.1023,0
cat.10230,0
cat.10231,0
cat.10232,0
cat.10233,0
cat.10234,0
cat.10235,0
cat.10236,0
cat.10237,0
cat.10238,0
cat.10239,0
cat.1024,0
cat.10240,0
cat.10241,0
cat.10242,0
cat.10243,0
cat.10244,0
cat.10245,0
cat.10246,0
cat.10247,0
cat.10248,0
cat.10249,0
cat.1025,0
cat.10250,0
cat.10251,0
cat.10252,0
cat.10253,0
cat.10254,0
cat.10255,0
cat.10256,0
cat.10257,0
cat.10258,0
cat.10259,0
cat.1026,0
cat.10260,0
cat.10261,0
cat.10262,0
cat.10263,0
cat.10264,0
cat.10265,0
cat.10266,0
cat.10267,0
cat.10268,0
cat.10269,0
cat.1027,0
cat.10270,0
cat.10271,0
cat.10272,0
cat.10273,0
cat.10274,0
cat.10275,0
cat.10276,0
cat.10277,0
cat.10278,0
cat.10279,0
cat.1028,0
cat.10280,0
cat.10281,0
cat.10282,0
cat.10283,0
cat.10284,0
cat.10285,0
cat.10286,0
cat.10287,0
cat.10288,0
cat.10289,0
cat.1029,0
cat.10290,0
cat.10291,0
cat.10292,0
cat.10293,0
cat.10294,0
cat.10295,0
cat.10296,0
cat.10297,0
cat.10298,0
cat.10299,0
cat.103,0
cat.1030,0
cat.10300,0
cat.10301,0
cat.10302,0
cat.10303,0
cat.10304,0
cat.10305,0
cat.10306,0
cat.10307,0
cat.10308,0
cat.10309,0
cat.1031,0
cat.10310,0
cat.10311,0
cat.10312,0
cat.10313,0
cat.10314,0
cat.10315,0
cat.10316,0
cat.10317,0
cat.10318,0
cat.10319,0
cat.1032,0
cat.10320,0
cat.10321,0
cat.10322,0
cat.10323,0
cat.10324,0
cat.10325,0
cat.10326,0
cat.10327,0
cat.10328,0
cat.10329,0
cat.1033,0
cat.10330,0
cat.10331,0
cat.10332,0
cat.10333,0
cat.10334,0
cat.10335,0
cat.10336,0
cat.10337,0
cat.10338,0
cat.10339,0
cat.1034,0
cat.10340,0
cat.10341,0
cat.10342,0
cat.10343,0
cat.10344,0
cat.10345,0
cat.10346,0
cat.10347,0
cat.10348,0
cat.10349,0
cat.1035,0
cat.10350,0
cat.10351,0
cat.10352,0
cat.10353,0
cat.10354,0
cat.10355,0
cat.10356,0
cat.10357,0
cat.10358,0
cat.10359,0
cat.1036,0
cat.10360,0
cat.10361,0
cat.10362,0
cat.10363,0
cat.10364,0
cat.10365,0
cat.10366,0
cat.10367,0
cat.10368,0
